geneID,KO
TRINITY_DN107602_c0_g1,K22970
TRINITY_DN48716_c0_g1,K10373
TRINITY_DN231401_c0_g1,K08378
TRINITY_DN121219_c0_g2,K06129
TRINITY_DN116195_c1_g3,K12383
TRINITY_DN107391_c0_g1,K04560
TRINITY_DN120841_c0_g2,K20278
TRINITY_DN107572_c0_g2,K07889
TRINITY_DN106709_c1_g2,K17610
TRINITY_DN176991_c0_g1,K24272
TRINITY_DN79592_c0_g1,K09083
TRINITY_DN98471_c0_g1,K24538
TRINITY_DN146284_c0_g1,K02938
TRINITY_DN112025_c0_g3,K23837
TRINITY_DN113321_c0_g1,K10104
TRINITY_DN77140_c0_g2,K23284
TRINITY_DN104775_c1_g3,K10373
TRINITY_DN120140_c0_g12,K19501
TRINITY_DN109070_c1_g1,K10093
TRINITY_DN113205_c2_g1,K18740
TRINITY_DN111877_c0_g1,K07426
TRINITY_DN129863_c0_g1,K08835
TRINITY_DN112490_c0_g1,K20186
TRINITY_DN87540_c0_g1,K13443
TRINITY_DN90418_c1_g2,K25409
TRINITY_DN109288_c0_g2,K14351
TRINITY_DN116327_c0_g2,K08869
TRINITY_DN107423_c1_g4,K06928
TRINITY_DN123168_c8_g1,K03098
TRINITY_DN106245_c0_g2,K17614
TRINITY_DN98896_c0_g4,K23284
TRINITY_DN225575_c0_g1,K22556
TRINITY_DN122443_c0_g3,K10356
TRINITY_DN116254_c0_g1,K03098
TRINITY_DN97909_c0_g1,K00940
TRINITY_DN85858_c0_g1,K23909
TRINITY_DN112200_c0_g1,K10262
TRINITY_DN121456_c1_g3,K10694
TRINITY_DN166138_c0_g1,K11806
TRINITY_DN98071_c0_g1,K01446
TRINITY_DN96752_c0_g3,K21138
TRINITY_DN97188_c0_g2,K11344
TRINITY_DN151960_c0_g1,K06636
TRINITY_DN115674_c0_g4,K00541
TRINITY_DN109831_c0_g1,K20032
TRINITY_DN90559_c0_g1,K22557
TRINITY_DN92858_c0_g2,K08066
TRINITY_DN99245_c0_g2,K24236
TRINITY_DN99966_c0_g2,K07937
TRINITY_DN205323_c0_g1,K01883
TRINITY_DN130521_c0_g1,K20800
TRINITY_DN112710_c0_g1,K17614
TRINITY_DN103009_c0_g2,K01745
TRINITY_DN108983_c1_g2,K12896
TRINITY_DN118614_c0_g1,K21245
TRINITY_DN91234_c0_g2,K23284
TRINITY_DN96282_c0_g1,K07374
TRINITY_DN107673_c0_g1,K23847
TRINITY_DN108177_c0_g1,K11165
TRINITY_DN119676_c0_g2,K01081
TRINITY_DN105006_c0_g1,K17356
TRINITY_DN108999_c0_g1,K07375
TRINITY_DN121048_c0_g1,K12812
TRINITY_DN122886_c0_g13,K00915
TRINITY_DN115131_c0_g4,K08872
TRINITY_DN155393_c0_g1,K15014
TRINITY_DN121140_c0_g1,K03010
TRINITY_DN119975_c0_g1,K07944
TRINITY_DN108632_c0_g1,K07939
TRINITY_DN155461_c0_g1,K13279
TRINITY_DN118882_c0_g1,K10798
TRINITY_DN102200_c0_g1,K20302
TRINITY_DN91089_c0_g2,K03098
TRINITY_DN90470_c0_g1,K16817
TRINITY_DN220835_c0_g1,K13181
TRINITY_DN220995_c0_g1,K00720
TRINITY_DN104148_c0_g1,K00844
TRINITY_DN109532_c0_g1,K23362
TRINITY_DN118020_c0_g5,K00326
TRINITY_DN108136_c0_g3,K18171
TRINITY_DN121571_c1_g3,K24740
TRINITY_DN95155_c0_g1,K12393
TRINITY_DN221319_c0_g1,K23909
TRINITY_DN204913_c0_g1,K02880
TRINITY_DN167241_c0_g1,K10768
TRINITY_DN111772_c0_g2,K07903
TRINITY_DN167993_c0_g1,K09490
TRINITY_DN107993_c0_g1,K04392
TRINITY_DN164550_c0_g1,K09504
TRINITY_DN97755_c0_g1,K00682
TRINITY_DN103402_c0_g1,K15901
TRINITY_DN107395_c0_g1,K11667
TRINITY_DN87081_c0_g1,K04261
TRINITY_DN224599_c0_g1,K01183
TRINITY_DN104299_c0_g2,K07860
TRINITY_DN117655_c0_g1,K12824
TRINITY_DN106495_c0_g2,K23284
TRINITY_DN119741_c1_g1,K17382
TRINITY_DN102278_c0_g1,K15323
TRINITY_DN96580_c0_g1,K05357
TRINITY_DN219201_c0_g1,K01228
TRINITY_DN115282_c0_g3,K07426
TRINITY_DN115936_c0_g1,K23727
TRINITY_DN118878_c3_g3,K06226
TRINITY_DN97521_c0_g1,K02950
TRINITY_DN97676_c1_g1,K14165
TRINITY_DN105856_c0_g3,K12189
TRINITY_DN106982_c2_g1,K12301
TRINITY_DN119002_c0_g2,K00869
TRINITY_DN118651_c0_g1,K03283
TRINITY_DN108016_c0_g2,K04393
TRINITY_DN122139_c1_g3,K15516
TRINITY_DN104597_c1_g3,K02183
TRINITY_DN106222_c2_g1,K01759
TRINITY_DN16320_c0_g1,K10282
TRINITY_DN117136_c0_g1,K24030
TRINITY_DN111440_c0_g1,K01025
TRINITY_DN106615_c1_g1,K14165
TRINITY_DN101528_c0_g2,K00799
TRINITY_DN102233_c0_g2,K14165
TRINITY_DN125954_c0_g1,K00643
TRINITY_DN74834_c0_g2,K09250
TRINITY_DN223895_c0_g1,K12861
TRINITY_DN121817_c1_g14,K14445
TRINITY_DN109649_c1_g2,K16904
TRINITY_DN186325_c0_g1,K01886
TRINITY_DN118931_c0_g2,K03174
TRINITY_DN103309_c0_g1,K07424
TRINITY_DN100535_c0_g1,K22384
TRINITY_DN92716_c0_g1,K02963
TRINITY_DN92861_c0_g2,K17795
TRINITY_DN116073_c0_g4,K06268
TRINITY_DN118049_c0_g1,K20182
TRINITY_DN190729_c0_g1,K14191
TRINITY_DN95238_c0_g1,K23284
TRINITY_DN95866_c0_g1,K23284
TRINITY_DN90911_c0_g1,K23284
TRINITY_DN133518_c0_g1,K01745
TRINITY_DN106862_c0_g1,K12402
TRINITY_DN112615_c1_g3,K10365
TRINITY_DN123303_c7_g3,K05701
TRINITY_DN116819_c0_g1,K22037
TRINITY_DN96477_c1_g1,K12757
TRINITY_DN182351_c0_g1,K24104
TRINITY_DN111719_c1_g3,K08574
TRINITY_DN110906_c0_g1,K10532
TRINITY_DN107030_c0_g2,K14293
TRINITY_DN108241_c0_g1,K15464
TRINITY_DN92737_c0_g4,K24236
TRINITY_DN89124_c0_g2,K19408
TRINITY_DN104881_c0_g1,K05692
TRINITY_DN116032_c0_g2,K24510
TRINITY_DN122141_c1_g3,K18081
TRINITY_DN112183_c1_g1,K16866
TRINITY_DN120782_c0_g3,K24242
TRINITY_DN144487_c0_g1,K03424
TRINITY_DN125031_c0_g1,K03320
TRINITY_DN111331_c0_g1,K08202
TRINITY_DN92060_c0_g1,K12757
TRINITY_DN109300_c0_g2,K11089
TRINITY_DN120140_c0_g12,K19501
TRINITY_DN110110_c1_g5,K22827
TRINITY_DN92348_c0_g1,K02966
TRINITY_DN121720_c2_g3,K12235
TRINITY_DN18630_c0_g1,K09490
TRINITY_DN117539_c0_g1,K18592
TRINITY_DN116379_c0_g3,K14864
TRINITY_DN115246_c0_g1,K06965
TRINITY_DN105739_c0_g1,K12394
TRINITY_DN126214_c0_g1,K17783
TRINITY_DN81334_c0_g1,K11353
TRINITY_DN101051_c1_g1,K03871
TRINITY_DN101198_c0_g2,K15294
TRINITY_DN186592_c0_g1,K02889
TRINITY_DN105929_c0_g1,K13354
TRINITY_DN189157_c0_g1,K03469
TRINITY_DN116505_c0_g3,K14938
TRINITY_DN121565_c0_g1,K25554
TRINITY_DN110584_c0_g7,K24420
TRINITY_DN101802_c1_g9,K14946
TRINITY_DN100397_c0_g1,K24237
TRINITY_DN119707_c0_g5,K02542
TRINITY_DN90678_c0_g1,K04515
TRINITY_DN110393_c0_g5,K15192
TRINITY_DN115769_c1_g1,K06528
TRINITY_DN85701_c0_g1,K18754
TRINITY_DN118775_c1_g1,K10299
TRINITY_DN116928_c0_g1,K01135
TRINITY_DN113404_c0_g1,K01206
TRINITY_DN96095_c0_g1,K16866
TRINITY_DN99326_c0_g1,K09532
TRINITY_DN150724_c0_g1,K01527
TRINITY_DN101232_c0_g1,K20187
TRINITY_DN108332_c0_g1,K02183
TRINITY_DN7014_c0_g1,K01251
TRINITY_DN121898_c1_g1,K10345
TRINITY_DN102092_c1_g1,K22145
TRINITY_DN108332_c0_g2,K02183
TRINITY_DN96505_c0_g1,K02183
TRINITY_DN121109_c0_g7,K12164
TRINITY_DN118945_c1_g2,K01697
TRINITY_DN103968_c0_g3,K04402
TRINITY_DN95121_c0_g1,K03884
TRINITY_DN98988_c1_g1,K02953
TRINITY_DN55508_c0_g1,K02183
TRINITY_DN91380_c0_g1,K19761
TRINITY_DN121219_c1_g4,K06129
TRINITY_DN109756_c0_g1,K00658
TRINITY_DN116505_c0_g3,K14938
TRINITY_DN92230_c0_g1,K02183
TRINITY_DN219269_c0_g1,K04552
TRINITY_DN104239_c0_g1,K24061
TRINITY_DN191970_c0_g1,K15441
TRINITY_DN117186_c0_g1,K15442
TRINITY_DN110036_c0_g2,K12839
TRINITY_DN114767_c0_g1,K13443
TRINITY_DN105160_c0_g1,K00273
TRINITY_DN119792_c0_g1,K10263
TRINITY_DN93211_c0_g3,K13299
TRINITY_DN72900_c0_g1,K06563
TRINITY_DN75734_c0_g1,K02941
TRINITY_DN105484_c0_g3,K19675
TRINITY_DN102272_c0_g1,K10258
TRINITY_DN91891_c0_g1,K02183
TRINITY_DN94947_c0_g1,K02183
TRINITY_DN96891_c3_g1,K18753
TRINITY_DN98484_c0_g1,K18168
TRINITY_DN112254_c0_g5,K02183
TRINITY_DN114704_c0_g1,K16757
TRINITY_DN106540_c0_g1,K23617
TRINITY_DN104513_c0_g1,K13121
TRINITY_DN102351_c2_g2,K06689
TRINITY_DN181353_c0_g1,K15734
TRINITY_DN117552_c0_g3,K22037
TRINITY_DN107603_c0_g1,K10756
TRINITY_DN107458_c0_g2,K17286
TRINITY_DN113259_c0_g1,K06689
TRINITY_DN118685_c0_g1,K07192
TRINITY_DN99016_c0_g1,K09131
TRINITY_DN92139_c0_g1,K20185
TRINITY_DN116677_c0_g3,K12173
TRINITY_DN100796_c0_g1,K07953
TRINITY_DN97906_c0_g1,K01081
TRINITY_DN91754_c0_g1,K00714
TRINITY_DN27730_c0_g1,K24521
TRINITY_DN116761_c2_g2,K07194
TRINITY_DN92479_c0_g2,K10745
TRINITY_DN80038_c0_g1,K05759
TRINITY_DN212187_c0_g1,K07375
TRINITY_DN109491_c0_g1,K09517
TRINITY_DN100010_c0_g1,K12303
TRINITY_DN123000_c2_g2,K18619
TRINITY_DN110686_c1_g1,K14165
TRINITY_DN114308_c0_g3,K02898
TRINITY_DN105244_c0_g2,K08752
TRINITY_DN120922_c0_g3,K23677
TRINITY_DN96927_c0_g1,K17337
TRINITY_DN117949_c1_g2,K08220
TRINITY_DN110482_c0_g2,K12176
TRINITY_DN105484_c0_g3,K19675
TRINITY_DN100989_c0_g1,K02903
TRINITY_DN111672_c0_g4,K15595
TRINITY_DN20170_c0_g1,K02875
TRINITY_DN96095_c0_g1,K16866
TRINITY_DN78644_c0_g2,K22928
TRINITY_DN108727_c1_g1,K04554
TRINITY_DN120681_c1_g2,K14696
TRINITY_DN116667_c0_g1,K01724
TRINITY_DN169704_c0_g1,K23388
TRINITY_DN108960_c0_g2,K12898
TRINITY_DN107172_c0_g1,K15151
TRINITY_DN111988_c0_g3,K24632
TRINITY_DN144595_c0_g1,K00573
TRINITY_DN112023_c0_g1,K25040
TRINITY_DN116773_c0_g2,K00626
TRINITY_DN105498_c1_g2,K22139
TRINITY_DN121007_c4_g15,K15296
TRINITY_DN118539_c1_g2,K11259
TRINITY_DN212496_c0_g1,K19054
TRINITY_DN111684_c1_g5,K01482
TRINITY_DN96920_c0_g1,K15381
TRINITY_DN106805_c0_g1,K14801
TRINITY_DN114508_c0_g1,K22390
TRINITY_DN98570_c0_g1,K14846
TRINITY_DN101049_c2_g3,K23284
TRINITY_DN121110_c1_g9,K13218
TRINITY_DN119363_c0_g1,K13203
TRINITY_DN121009_c1_g5,K10370
TRINITY_DN99465_c0_g1,K23882
TRINITY_DN103070_c1_g1,K19363
TRINITY_DN187961_c0_g1,K03949
TRINITY_DN100126_c0_g2,K04370
TRINITY_DN125325_c0_g1,K15294
TRINITY_DN109403_c0_g2,K00616
TRINITY_DN116171_c0_g1,K10532
TRINITY_DN107337_c0_g1,K20858
TRINITY_DN108168_c0_g1,K07253
TRINITY_DN107224_c1_g5,K17794
TRINITY_DN81954_c0_g1,K23896
TRINITY_DN122556_c1_g1,K11214
TRINITY_DN85569_c0_g1,K03017
TRINITY_DN219566_c0_g1,K23490
TRINITY_DN110221_c0_g1,K09580
TRINITY_DN116017_c0_g2,K13988
TRINITY_DN103031_c0_g1,K03020
TRINITY_DN115553_c0_g1,K04348
TRINITY_DN98565_c0_g2,K21444
TRINITY_DN163030_c0_g1,K11248
TRINITY_DN105484_c0_g1,K19675
TRINITY_DN101125_c1_g3,K10028
TRINITY_DN108550_c0_g8,K06927
TRINITY_DN115663_c0_g2,K19363
TRINITY_DN109781_c1_g4,K19995
TRINITY_DN111684_c1_g5,K01482
TRINITY_DN112542_c2_g7,K10049
TRINITY_DN108762_c0_g1,K13091
TRINITY_DN99356_c0_g4,K14822
TRINITY_DN121118_c1_g4,K01951
TRINITY_DN114895_c0_g3,K07754
TRINITY_DN118613_c0_g7,K10435
TRINITY_DN101146_c0_g1,K00657
TRINITY_DN114895_c0_g3,K07754
TRINITY_DN113365_c0_g4,K03644
TRINITY_DN116505_c0_g3,K14938
TRINITY_DN93970_c1_g6,K07374
TRINITY_DN113318_c1_g4,K01206
TRINITY_DN108256_c0_g2,K17095
TRINITY_DN101364_c0_g1,K03113
TRINITY_DN214574_c0_g1,K09539
TRINITY_DN100918_c0_g4,K05759
TRINITY_DN188646_c0_g1,K04364
TRINITY_DN122948_c6_g4,K10390
TRINITY_DN111009_c2_g1,K01868
TRINITY_DN115858_c1_g7,K11165
TRINITY_DN105077_c0_g1,K07374
TRINITY_DN109180_c1_g1,K12668
TRINITY_DN112406_c2_g1,K19363
TRINITY_DN111591_c6_g2,K07253
TRINITY_DN102983_c0_g1,K12626
TRINITY_DN227_c0_g1,K07936
TRINITY_DN114162_c0_g1,K18660
TRINITY_DN100796_c0_g1,K07953
TRINITY_DN92479_c0_g2,K10745
TRINITY_DN114210_c0_g2,K19363
TRINITY_DN89127_c0_g1,K12622
TRINITY_DN111007_c0_g1,K20362
TRINITY_DN78171_c0_g1,K02929
TRINITY_DN97668_c0_g1,K01358
TRINITY_DN103488_c0_g1,K02183
TRINITY_DN114167_c0_g1,K12162
TRINITY_DN103603_c0_g1,K01512
TRINITY_DN123466_c0_g1,K10408
TRINITY_DN123322_c4_g1,K10366
TRINITY_DN122785_c0_g1,K04962
TRINITY_DN51598_c0_g1,K21870
TRINITY_DN108163_c0_g1,K17290
TRINITY_DN106401_c3_g3,K20188
TRINITY_DN122747_c0_g1,K24938
TRINITY_DN112719_c0_g2,K04958
TRINITY_DN121487_c0_g1,K23286
TRINITY_DN123465_c1_g1,K17592
TRINITY_DN121977_c0_g1,K24469
TRINITY_DN114383_c1_g1,K25165
TRINITY_DN123095_c0_g1,K17533
TRINITY_DN123296_c1_g1,K11262
TRINITY_DN122964_c0_g1,K00698
TRINITY_DN101955_c0_g3,K23949
TRINITY_DN118548_c0_g1,K23949
TRINITY_DN121832_c1_g1,K06095
TRINITY_DN100356_c0_g1,K22754
TRINITY_DN123221_c1_g1,K10408
TRINITY_DN121477_c0_g1,K15601
TRINITY_DN123263_c0_g2,K15164
TRINITY_DN123078_c1_g2,K19026
TRINITY_DN123353_c1_g1,K12818
TRINITY_DN123401_c3_g1,K16537
TRINITY_DN116361_c0_g2,K25165
TRINITY_DN117777_c0_g2,K03424
TRINITY_DN123002_c2_g1,K09291
TRINITY_DN67954_c0_g2,K23949
TRINITY_DN123268_c0_g1,K23223
TRINITY_DN123140_c0_g3,K22125
TRINITY_DN104419_c2_g2,K13912
TRINITY_DN122682_c1_g1,K24734
TRINITY_DN120275_c0_g2,K24734
TRINITY_DN123214_c0_g3,K23379
TRINITY_DN117460_c0_g1,K12168
TRINITY_DN122897_c0_g2,K10484
TRINITY_DN122073_c0_g1,K25209
TRINITY_DN120395_c0_g2,K15293
TRINITY_DN121065_c0_g1,K11757
TRINITY_DN120395_c0_g2,K15293
TRINITY_DN71868_c0_g2,K17592
TRINITY_DN121303_c0_g1,K17589
TRINITY_DN121299_c0_g1,K04987
TRINITY_DN121070_c0_g1,K18405
TRINITY_DN122511_c0_g1,K20632
TRINITY_DN123178_c2_g2,K24185
TRINITY_DN122934_c2_g1,K20404
TRINITY_DN119548_c0_g3,K23851
TRINITY_DN122610_c0_g2,K14296
TRINITY_DN122354_c0_g1,K10891
TRINITY_DN116896_c0_g1,K20689
TRINITY_DN122713_c0_g1,K17686
TRINITY_DN118583_c0_g1,K22870
TRINITY_DN115935_c0_g2,K06530
TRINITY_DN122754_c3_g2,K00907
TRINITY_DN116828_c0_g1,K08803
TRINITY_DN121157_c0_g2,K05665
TRINITY_DN122228_c0_g1,K10901
TRINITY_DN122791_c4_g6,K00698
TRINITY_DN122342_c1_g1,K08857
TRINITY_DN120800_c0_g3,K13709
TRINITY_DN110248_c0_g1,K08819
TRINITY_DN121511_c0_g2,K10393
TRINITY_DN122847_c1_g2,K25533
TRINITY_DN123457_c8_g1,K17592
TRINITY_DN118581_c0_g1,K11373
TRINITY_DN116283_c0_g1,K19531
TRINITY_DN120977_c0_g1,K10397
TRINITY_DN114547_c0_g1,K06709
TRINITY_DN114894_c1_g1,K04426
TRINITY_DN109069_c0_g1,K06225
TRINITY_DN119647_c0_g1,K15711
TRINITY_DN114676_c0_g1,K10408
TRINITY_DN121278_c0_g2,K11485
TRINITY_DN122645_c0_g1,K06756
TRINITY_DN119700_c1_g1,K11306
TRINITY_DN118926_c0_g1,K01769
TRINITY_DN122668_c0_g2,K11839
TRINITY_DN120305_c0_g1,K01280
TRINITY_DN120720_c0_g2,K17478
TRINITY_DN121580_c0_g2,K16685
TRINITY_DN120062_c0_g1,K09228
TRINITY_DN123354_c3_g1,K08834
TRINITY_DN118929_c1_g1,K21440
TRINITY_DN118886_c0_g2,K05236
TRINITY_DN117204_c0_g1,K15047
TRINITY_DN107090_c0_g1,K06491
TRINITY_DN120663_c0_g1,K06820
TRINITY_DN119527_c0_g1,K18407
TRINITY_DN114736_c1_g1,K16353
TRINITY_DN121500_c0_g1,K12646
TRINITY_DN118139_c0_g1,K19901
TRINITY_DN120429_c0_g3,K18464
TRINITY_DN120050_c0_g1,K08630
TRINITY_DN119734_c0_g1,K14292
TRINITY_DN107818_c0_g1,K25318
TRINITY_DN109586_c0_g2,K11348
TRINITY_DN101157_c0_g1,K04459
TRINITY_DN118190_c0_g7,K24842
TRINITY_DN115811_c0_g2,K06277
TRINITY_DN115446_c0_g3,K21440
TRINITY_DN123261_c4_g2,K23368
TRINITY_DN120992_c0_g1,K12236
TRINITY_DN119378_c1_g2,K06094
TRINITY_DN52864_c0_g1,K16060
TRINITY_DN117903_c0_g1,K11124
TRINITY_DN120044_c1_g2,K11224
TRINITY_DN122484_c3_g1,K16498
TRINITY_DN107852_c0_g1,K23939
TRINITY_DN123261_c4_g1,K23368
TRINITY_DN114333_c0_g1,K05127
TRINITY_DN116304_c0_g2,K25639
TRINITY_DN123176_c2_g2,K04593
TRINITY_DN117717_c0_g2,K05725
TRINITY_DN121549_c0_g1,K21413
TRINITY_DN117697_c1_g2,K19021
TRINITY_DN120770_c1_g4,K16770
TRINITY_DN119957_c0_g2,K04559
TRINITY_DN121549_c0_g1,K21413
TRINITY_DN118348_c0_g1,K14427
TRINITY_DN115175_c0_g1,K23820
TRINITY_DN122319_c0_g2,K03178
TRINITY_DN117256_c0_g1,K10589
TRINITY_DN122821_c0_g1,K11540
TRINITY_DN118805_c1_g12,K24631
TRINITY_DN106673_c0_g2,K04851
TRINITY_DN116892_c0_g1,K11274
TRINITY_DN122072_c0_g2,K14442
TRINITY_DN118383_c0_g1,K24511
TRINITY_DN112285_c0_g1,K11852
TRINITY_DN121296_c0_g2,K18419
TRINITY_DN118873_c0_g1,K19871
TRINITY_DN119653_c1_g4,K10645
TRINITY_DN108467_c0_g2,K15167
TRINITY_DN120506_c0_g4,K16498
TRINITY_DN109326_c1_g3,K14288
TRINITY_DN91015_c0_g1,K19403
TRINITY_DN116697_c0_g1,K11406
TRINITY_DN121865_c1_g1,K19036
TRINITY_DN118752_c0_g2,K22403
TRINITY_DN122523_c1_g2,K16460
TRINITY_DN119223_c0_g1,K15261
TRINITY_DN115020_c3_g1,K05310
TRINITY_DN114186_c2_g1,K04970
TRINITY_DN122104_c1_g3,K16498
TRINITY_DN118210_c0_g1,K19348
TRINITY_DN122200_c0_g1,K03163
TRINITY_DN200215_c0_g1,K03260
TRINITY_DN122035_c0_g1,K18343
TRINITY_DN120253_c0_g2,K20644
TRINITY_DN122798_c1_g1,K08824
TRINITY_DN118760_c1_g2,K24511
TRINITY_DN116989_c0_g1,K24430
TRINITY_DN119761_c0_g4,K04725
TRINITY_DN120208_c0_g2,K09228
TRINITY_DN117448_c0_g2,K17461
TRINITY_DN120867_c0_g1,K06111
TRINITY_DN123127_c0_g1,K06640
TRINITY_DN120771_c0_g1,K15198
TRINITY_DN113693_c1_g4,K15214
TRINITY_DN121752_c0_g2,K10408
TRINITY_DN107985_c0_g1,K19192
TRINITY_DN115419_c0_g1,K06058
TRINITY_DN112831_c5_g2,K21440
TRINITY_DN122632_c0_g1,K21424
TRINITY_DN114708_c0_g1,K04422
TRINITY_DN123094_c2_g1,K18533
TRINITY_DN114299_c0_g1,K10877
TRINITY_DN117207_c1_g7,K03068
TRINITY_DN116798_c4_g1,K22754
TRINITY_DN113012_c0_g1,K09232
TRINITY_DN113157_c0_g3,K00901
TRINITY_DN117228_c0_g2,K23720
TRINITY_DN119241_c0_g3,K20053
TRINITY_DN117838_c0_g1,K01229
TRINITY_DN122299_c0_g3,K13131
TRINITY_DN116948_c0_g1,K10905
TRINITY_DN112065_c0_g3,K12619
TRINITY_DN120396_c0_g1,K10858
TRINITY_DN113618_c0_g1,K14000
TRINITY_DN117228_c0_g2,K23720
TRINITY_DN117276_c0_g2,K12076
TRINITY_DN117099_c0_g1,K02157
TRINITY_DN121028_c0_g6,K06820
TRINITY_DN112719_c0_g2,K04958
TRINITY_DN116687_c1_g1,K16544
TRINITY_DN123213_c2_g2,K24810
TRINITY_DN110135_c0_g1,K06532
TRINITY_DN102810_c0_g1,K13298
TRINITY_DN113191_c0_g2,K12494
TRINITY_DN108543_c2_g1,K22754
TRINITY_DN119357_c1_g7,K16602
TRINITY_DN118981_c0_g1,K06233
TRINITY_DN112520_c0_g1,K21424
TRINITY_DN119520_c0_g1,K02308
TRINITY_DN119319_c0_g2,K06265
TRINITY_DN123160_c2_g1,K11853
TRINITY_DN120509_c0_g1,K24852
TRINITY_DN112807_c0_g1,K12603
TRINITY_DN114545_c1_g4,K05849
TRINITY_DN118378_c1_g4,K15162
TRINITY_DN122509_c2_g2,K10159
TRINITY_DN116874_c0_g3,K20407
TRINITY_DN119610_c0_g2,K04986
TRINITY_DN115528_c0_g1,K07188
TRINITY_DN120760_c0_g1,K10867
TRINITY_DN121344_c0_g1,K08844
TRINITY_DN8055_c0_g1,K03234
TRINITY_DN115671_c0_g1,K17535
TRINITY_DN110213_c0_g1,K00698
TRINITY_DN101831_c0_g1,K20072
TRINITY_DN123227_c3_g2,K00698
TRINITY_DN120505_c0_g1,K07380
TRINITY_DN100121_c0_g1,K11976
TRINITY_DN113662_c0_g3,K05030
TRINITY_DN114179_c0_g1,K08576
TRINITY_DN123123_c2_g2,K12489
TRINITY_DN114371_c0_g1,K17491
TRINITY_DN122899_c0_g2,K10395
TRINITY_DN120394_c0_g1,K24510
TRINITY_DN117317_c0_g1,K05619
TRINITY_DN121889_c0_g1,K20309
TRINITY_DN121577_c3_g1,K08585
TRINITY_DN119798_c0_g3,K17512
TRINITY_DN117678_c0_g1,K23112
TRINITY_DN122187_c0_g1,K13133
TRINITY_DN121360_c0_g1,K14794
TRINITY_DN34789_c0_g2,K11347
TRINITY_DN101665_c0_g1,K18412
TRINITY_DN120755_c0_g2,K11836
TRINITY_DN98711_c0_g1,K18437
TRINITY_DN117274_c0_g1,K10641
TRINITY_DN95477_c0_g1,K25549
TRINITY_DN119162_c0_g1,K16543
TRINITY_DN113157_c0_g3,K00901
TRINITY_DN122811_c4_g3,K06530
TRINITY_DN120631_c1_g2,K04978
TRINITY_DN121987_c1_g3,K00728
TRINITY_DN100581_c0_g2,K11972
TRINITY_DN120294_c0_g4,K21988
TRINITY_DN122127_c2_g2,K12353
TRINITY_DN119744_c0_g1,K05410
TRINITY_DN121055_c0_g3,K09272
TRINITY_DN120787_c0_g2,K13912
TRINITY_DN118126_c0_g1,K12316
TRINITY_DN122513_c9_g1,K19519
TRINITY_DN109710_c0_g1,K05619
TRINITY_DN117654_c0_g1,K01883
TRINITY_DN111866_c0_g2,K05619
TRINITY_DN117385_c0_g1,K23424
TRINITY_DN120876_c0_g2,K11140
TRINITY_DN120425_c0_g1,K19352
TRINITY_DN120512_c0_g1,K17580
TRINITY_DN118820_c0_g1,K08635
TRINITY_DN117646_c0_g2,K08635
TRINITY_DN116282_c0_g4,K04977
TRINITY_DN121418_c0_g4,K24510
TRINITY_DN113697_c0_g1,K06030
TRINITY_DN110547_c0_g1,K09536
TRINITY_DN103063_c0_g1,K08672
TRINITY_DN114104_c0_g1,K24509
TRINITY_DN122896_c2_g4,K12382
TRINITY_DN119160_c0_g1,K06110
TRINITY_DN113697_c0_g1,K06030
TRINITY_DN116840_c0_g1,K04976
TRINITY_DN112616_c0_g1,K01414
TRINITY_DN118661_c0_g1,K14571
TRINITY_DN121381_c1_g1,K10894
TRINITY_DN115281_c0_g1,K14692
TRINITY_DN119626_c0_g1,K25461
TRINITY_DN118496_c1_g2,K18808
TRINITY_DN119212_c0_g2,K10699
TRINITY_DN118248_c0_g1,K04043
TRINITY_DN16263_c0_g1,K13126
TRINITY_DN122208_c1_g1,K03252
TRINITY_DN116621_c0_g2,K10273
TRINITY_DN114561_c0_g1,K06676
TRINITY_DN115447_c0_g1,K10296
TRINITY_DN108219_c0_g1,K04351
TRINITY_DN122489_c0_g1,K10358
TRINITY_DN120524_c1_g2,K10645
TRINITY_DN122227_c0_g1,K02184
TRINITY_DN123122_c3_g5,K08765
TRINITY_DN117046_c0_g1,K02519
TRINITY_DN120679_c0_g2,K09228
TRINITY_DN120482_c0_g3,K25400
TRINITY_DN122000_c2_g4,K19897
TRINITY_DN121168_c0_g2,K01262
TRINITY_DN119845_c0_g1,K12824
TRINITY_DN118811_c0_g2,K16194
TRINITY_DN111157_c0_g1,K23308
TRINITY_DN92808_c0_g1,K14707
TRINITY_DN109906_c0_g3,K05060
TRINITY_DN109906_c0_g3,K05060
TRINITY_DN110770_c0_g1,K04944
TRINITY_DN113969_c0_g1,K16749
TRINITY_DN109710_c0_g1,K05619
TRINITY_DN118598_c1_g2,K15261
TRINITY_DN112753_c1_g1,K10645
TRINITY_DN116546_c0_g1,K14835
TRINITY_DN104027_c3_g7,K10645
TRINITY_DN98063_c0_g1,K11997
TRINITY_DN109591_c0_g1,K11997
TRINITY_DN200131_c0_g1,K15261
TRINITY_DN122484_c3_g1,K16498
TRINITY_DN116531_c0_g1,K24068
TRINITY_DN110854_c0_g1,K20877
TRINITY_DN107202_c0_g2,K13755
TRINITY_DN118441_c0_g1,K18024
TRINITY_DN46273_c0_g1,K22371
TRINITY_DN116368_c2_g1,K05038
TRINITY_DN116930_c0_g2,K01897
TRINITY_DN119497_c1_g2,K24514
TRINITY_DN118518_c0_g2,K09228
